cloud/instance-type,timestamp,duration,energy
Standard_B2s,2024-10-10T10:00:00.000Z,60,0.002191100227515244
Standard_B2s,2024-10-10T10:01:00.000Z,60,0.00226075963009718
Standard_B2s,2024-10-10T10:02:00.000Z,60,0.0020982106746379576
Standard_B2s,2024-10-10T10:03:00.000Z,60,0.002386292163395579
Standard_B2s,2024-10-10T10:04:00.000Z,60,0.0021234
Standard_B2s,2024-10-10T10:05:00.000Z,60,0.002329324070598323
Standard_B2s,2024-10-10T10:06:00.000Z,60,0.002410620227515244
Standard_B2s,2024-10-10T10:07:00.000Z,60,0.00206068
Standard_B2s,2024-10-10T10:08:00.000Z,60,0.0025101333262195122
Standard_B2s,2024-10-10T10:09:00.000Z,60,0.0025492866123761433
Standard_B2s,2024-10-10T10:10:00.000Z,60,0.002623577796875
Standard_B2s,2024-10-10T10:11:00.000Z,60,0.0026277416036585366
Standard_B2s,2024-10-10T10:12:00.000Z,60,0.002318922499475991
Standard_B2s,2024-10-10T10:13:00.000Z,60,0.0021364802561928352
Standard_B2s,2024-10-10T10:14:00.000Z,60,0.0023020506746379574
Standard_B2s,2024-10-10T10:15:00.000Z,60,0.0025372506746379575
Standard_B2s,2024-10-10T10:16:00.000Z,60,0.002285180227515244
Standard_B2s,2024-10-10T10:17:00.000Z,60,0.0020867733262195124
Standard_B2s,2024-10-10T10:18:00.000Z,60,0.002168857796875
Standard_B2s,2024-10-10T10:19:00.000Z,60,0.0023177306746379575
Standard_B2s,2024-10-10T10:20:00.000Z,60,0.0021436505517816312
Standard_B2s,2024-10-10T10:21:00.000Z,60,0.002585482499475991
Standard_B2s,2024-10-10T10:22:00.000Z,60,0.002498137796875
Standard_B2s,2024-10-10T10:23:00.000Z,60,0.0023403202561928355
Standard_B2s,2024-10-10T10:24:00.000Z,60,0.0020668506746379573
Standard_B2s,2024-10-10T10:25:00.000Z,60,0.0023212350823170733
Standard_B2s,2024-10-10T10:26:00.000Z,60,0.002399635082317073
Standard_B2s,2024-10-10T10:27:00.000Z,60,0.0026300677682926828
Standard_B2s,2024-10-10T10:28:00.000Z,60,0.002494453326219512
Standard_B2s,2024-10-10T10:29:00.000Z,60,0.0025336616036585368
Standard_B2s,2024-10-10T10:30:00.000Z,60,0.0025387666752096035
Standard_B2s,2024-10-10T10:31:00.000Z,60,0.002529497796875
Standard_B2s,2024-10-10T10:32:00.000Z,60,0.002057012163395579
Standard_B2s,2024-10-10T10:33:00.000Z,60,0.002080930551781631
Standard_B2s,2024-10-10T10:34:00.000Z,60,0.0023748112367092226
Standard_B2s,2024-10-10T10:35:00.000Z,60,0.002329324070598323
Standard_B2s,2024-10-10T10:36:00.000Z,60,0.002153177796875
Standard_B2s,2024-10-10T10:37:00.000Z,60,0.002454764070598323
Standard_B2s,2024-10-10T10:38:00.000Z,60,0.002504290551781631
Standard_B2s,2024-10-10T10:39:00.000Z,60,0.0022108988841463414
Standard_B2s,2024-10-10T10:40:00.000Z,60,0.002109804070598323
Standard_B2s,2024-10-10T10:41:00.000Z,60,0.002347827768292683
Standard_B2s,2024-10-10T10:42:00.000Z,60,0.0020540988841463415
Standard_B2s,2024-10-10T10:43:00.000Z,60,0.0021239312367092224
Standard_B2s,2024-10-10T10:44:00.000Z,60,0.002614387768292683
Standard_B2s,2024-10-10T10:45:00.000Z,60,0.0021069430472560975
Standard_B2s,2024-10-10T10:46:00.000Z,60,0.0025616630472560975
Standard_B2s,2024-10-10T10:47:00.000Z,60,0.0024395266123761433
Standard_B2s,2024-10-10T10:48:00.000Z,60,0.0023235721633955795
Standard_B2s,2024-10-10T10:49:00.000Z,60,0.0022851077682926827
Standard_B2s,2024-10-10T10:50:00.000Z,60,0.0020580802561928355
Standard_B2s,2024-10-10T10:51:00.000Z,60,0.0025493416036585365
Standard_B2s,2024-10-10T10:52:00.000Z,60,0.0025728533262195123
Standard_B2s,2024-10-10T10:53:00.000Z,60,0.002083722499475991
Standard_B2s,2024-10-10T10:54:00.000Z,60,0.00244891963009718
Standard_B2s,2024-10-10T10:55:00.000Z,60,0.0026034750823170734
Standard_B2s,2024-10-10T10:56:00.000Z,60,0.002410620227515244
Standard_B2s,2024-10-10T10:57:00.000Z,60,0.0021510921633955795
Standard_B2s,2024-10-10T10:58:00.000Z,60,0.0022964112367092225
Standard_B2s,2024-10-10T10:59:00.000Z,60,0.0021922906746379574
Standard_B2s,2024-10-10T11:00:00.000Z,60,0.0025649666123761434
Standard_B2s,2024-10-10T11:01:00.000Z,60,0.002128380227515244
Standard_B2s,2024-10-10T11:02:00.000Z,60,0.0025492866123761433
Standard_B2s,2024-10-10T11:03:00.000Z,60,0.0023490906746379573
Standard_B2s,2024-10-10T11:04:00.000Z,60,0.0021103016036585365
Standard_B2s,2024-10-10T11:05:00.000Z,60,0.002303242499475991
Standard_B2s,2024-10-10T11:06:00.000Z,60,0.002472930551781631
Standard_B2s,2024-10-10T11:07:00.000Z,60,0.0025877950823170732
Standard_B2s,2024-10-10T11:08:00.000Z,60,0.0020726921633955793
Standard_B2s,2024-10-10T11:09:00.000Z,60,0.0022380677682926828
Standard_B2s,2024-10-10T11:10:00.000Z,60,0.0020925712367092226
Standard_B2s,2024-10-10T11:11:00.000Z,60,0.00206068
Standard_B2s,2024-10-10T11:12:00.000Z,60,0.0025943312367092226
Standard_B2s,2024-10-10T11:13:00.000Z,60,0.002538442499475991
Standard_B2s,2024-10-10T11:14:00.000Z,60,0.0021324988841463417
Standard_B2s,2024-10-10T11:15:00.000Z,60,0.0026512533262195125
Standard_B2s,2024-10-10T11:16:00.000Z,60,0.0025529306746379576
Standard_B2s,2024-10-10T11:17:00.000Z,60,0.0021521602561928354
Standard_B2s,2024-10-10T11:18:00.000Z,60,0.002222460227515244
Standard_B2s,2024-10-10T11:19:00.000Z,60,0.0021051202561928354
Standard_B2s,2024-10-10T11:20:00.000Z,60,0.0026014866752096036
Standard_B2s,2024-10-10T11:21:00.000Z,60,0.0020997266752096036
Standard_B2s,2024-10-10T11:22:00.000Z,60,0.002470886612376143
Standard_B2s,2024-10-10T11:23:00.000Z,60,0.002632846675209604
Standard_B2s,2024-10-10T11:24:00.000Z,60,0.002247257796875
Standard_B2s,2024-10-10T11:25:00.000Z,60,0.002643366612376143
Standard_B2s,2024-10-10T11:26:00.000Z,60,0.0023833788841463414
Standard_B2s,2024-10-10T11:27:00.000Z,60,0.00257812
Standard_B2s,2024-10-10T11:28:00.000Z,60,0.0025203802275152436
Standard_B2s,2024-10-10T11:29:00.000Z,60,0.002569802499475991
Standard_B2s,2024-10-10T11:30:00.000Z,60,0.0022827816036585366
Standard_B2s,2024-10-10T11:31:00.000Z,60,0.0021197321633955792
Standard_B2s,2024-10-10T11:32:00.000Z,60,0.0023676988841463418
Standard_B2s,2024-10-10T11:33:00.000Z,60,0.002175347768292683
Standard_B2s,2024-10-10T11:34:00.000Z,60,0.00231156
Standard_B2s,2024-10-10T11:35:00.000Z,60,0.0024617788841463416
Standard_B2s,2024-10-10T11:36:00.000Z,60,0.00226075963009718
Standard_B2s,2024-10-10T11:37:00.000Z,60,0.0020854588841463413
Standard_B2s,2024-10-10T11:38:00.000Z,60,0.0025999706746379575
Standard_B2s,2024-10-10T11:39:00.000Z,60,0.0024213200000000002
Standard_B2s,2024-10-10T11:40:00.000Z,60,0.002350282499475991
Standard_B2s,2024-10-10T11:41:00.000Z,60,0.0022079706746379575
Standard_B2s,2024-10-10T11:42:00.000Z,60,0.0024258905517816312
Standard_B2s,2024-10-10T11:43:00.000Z,60,0.0026171666752096037
Standard_B2s,2024-10-10T11:44:00.000Z,60,0.002538442499475991
Standard_B2s,2024-10-10T11:45:00.000Z,60,0.002190690551781631
Standard_B2s,2024-10-10T11:46:00.000Z,60,0.0021226230472560976
Standard_B2s,2024-10-10T11:47:00.000Z,60,0.0025686106746379573
Standard_B2s,2024-10-10T11:48:00.000Z,60,0.002567347768292683
Standard_B2s,2024-10-10T11:49:00.000Z,60,0.002413326675209604
Standard_B2s,2024-10-10T11:50:00.000Z,60,0.0020413321633955795
Standard_B2s,2024-10-10T11:51:00.000Z,60,0.0023611266123761436
Standard_B2s,2024-10-10T11:52:00.000Z,60,0.0026570512367092227
Standard_B2s,2024-10-10T11:53:00.000Z,60,0.002545177796875
Standard_B2s,2024-10-10T11:54:00.000Z,60,0.0025963816036585364
Standard_B2s,2024-10-10T11:55:00.000Z,60,0.0024048630472560976
Standard_B2s,2024-10-10T11:56:00.000Z,60,0.0024617788841463416
Standard_B2s,2024-10-10T11:57:00.000Z,60,0.0026413712367092225
Standard_B2s,2024-10-10T11:58:00.000Z,60,0.0020941240705983234
Standard_B2s,2024-10-10T11:59:00.000Z,60,0.0020789416036585367
Standard_B2s,2024-10-10T12:00:00.000Z,60,0.0025146230472560976
Standard_B2s,2024-10-10T12:01:00.000Z,60,0.00216667963009718
Standard_B2s,2024-10-10T12:02:00.000Z,60,0.002519970551781631
Standard_B2s,2024-10-10T12:03:00.000Z,60,0.0024274906746379575
Standard_B2s,2024-10-10T12:04:00.000Z,60,0.0025258133262195124
Standard_B2s,2024-10-10T12:05:00.000Z,60,0.0024019721633955792
Standard_B2s,2024-10-10T12:06:00.000Z,60,0.002336915082317073
Standard_B2s,2024-10-10T12:07:00.000Z,60,0.002337653326219512
Standard_B2s,2024-10-10T12:08:00.000Z,60,0.0022951030472560976
Standard_B2s,2024-10-10T12:09:00.000Z,60,0.0023421430472560976
Standard_B2s,2024-10-10T12:10:00.000Z,60,0.0024760466752096035
Standard_B2s,2024-10-10T12:11:00.000Z,60,0.0021138906746379573
Standard_B2s,2024-10-10T12:12:00.000Z,60,0.002441907768292683
Standard_B2s,2024-10-10T12:13:00.000Z,60,0.0022736188841463415
Standard_B2s,2024-10-10T12:14:00.000Z,60,0.002083722499475991
Standard_B2s,2024-10-10T12:15:00.000Z,60,0.002112700227515244
Standard_B2s,2024-10-10T12:16:00.000Z,60,0.0021181333262195122
Standard_B2s,2024-10-10T12:17:00.000Z,60,0.0021354121633955793
Standard_B2s,2024-10-10T12:18:00.000Z,60,0.0024160533262195124
Standard_B2s,2024-10-10T12:19:00.000Z,60,0.0024082216036585367
Standard_B2s,2024-10-10T12:20:00.000Z,60,0.0022108988841463414
Standard_B2s,2024-10-10T12:21:00.000Z,60,0.00226452
Standard_B2s,2024-10-10T12:22:00.000Z,60,0.0024147388841463417
Standard_B2s,2024-10-10T12:23:00.000Z,60,0.0022579388841463413
Standard_B2s,2024-10-10T12:24:00.000Z,60,0.002384693326219512
Standard_B2s,2024-10-10T12:25:00.000Z,60,0.002222387768292683
Standard_B2s,2024-10-10T12:26:00.000Z,60,0.002504290551781631
Standard_B2s,2024-10-10T12:27:00.000Z,60,0.0024575877682926827
Standard_B2s,2024-10-10T12:28:00.000Z,60,0.002541493326219512
